City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,raudeberg,61.99,5.14,41.0,93,75,9.17,NO,1583533069
87,tuatapere,-46.13,167.68,58.19,71,100,6.55,NZ,1583533069
88,ternate,0.8,127.4,75.33,85,100,4.03,ID,1583533069
89,oksfjord,70.24,22.35,37.4,74,40,17.22,NO,1583533069
90,ahuimanu,21.44,-157.84,78.8,94,90,8.05,US,1583533069
91,the valley,18.22,-63.06,82.4,65,20,12.75,AI,1583532960
92,cape town,-33.93,18.42,75.99,73,0,4.7,ZA,1583532887
93,yaan,7.38,8.57,88.79,47,30,4.85,NG,1583533069
94,sant julia de loria,42.46,1.48,39.99,93,100,7.67,AD,1583533070
95,kapaa,22.08,-159.32,78.8,65,75,20.8,US,1583533070
96,salalah,17.02,54.09,73.4,53,0,5.82,OM,1583532996
97,butaritari,3.07,172.79,83.43,76,100,9.71,KI,1583532905
98,funehiki,37.43,140.58,39.99,77,20,6.93,JP,1583533070
99,airai,-8.93,125.41,67.55,96,100,0.98,TL,1583533070
100,georgetown,5.41,100.34,80.6,88,20,6.93,MY,1583532916
101,luderitz,-26.65,15.16,73.4,69,0,4.7,NA,1583533070
102,taft,31.75,54.21,53.6,23,0,2.24,IR,1583533070
103,arraial do cabo,-22.97,-42.03,75.2,88,0,11.41,BR,1583533070
104,puri,19.8,85.85,71.6,94,20,8.72,IN,1583532783
105,saint-joseph,-21.37,55.62,80.6,83,90,4.7,RE,1583533070
106,leningradskiy,69.38,178.42,-0.31,94,100,8.05,RU,1583533071
107,krasnoselkup,65.7,82.47,-28.39,92,0,5.28,RU,1583533071
108,batemans bay,-35.72,150.18,57.99,87,93,1.99,AU,1583533071
109,sunrise manor,36.21,-115.07,78.01,17,1,6.93,US,1583533071
110,portland,45.52,-122.68,45.0,81,90,5.82,US,1583533033
111,biloela,-24.42,150.5,74.3,83,21,11.45,AU,1583533071
112,korla,41.76,86.15,31.24,50,74,5.73,CN,1583533036
113,san patricio,19.22,-104.7,80.6,78,75,11.41,MX,1583533071
114,puro,12.48,123.38,77.13,88,93,5.12,PH,1583533071
115,cherskiy,68.75,161.3,-12.44,98,83,7.0,RU,1583533071
116,strezhevoy,60.73,77.59,-13.0,83,13,4.47,RU,1583533071
117,boshnyakovo,49.63,142.17,17.2,87,91,5.66,RU,1583533071
118,nikolskoye,59.7,30.79,32.0,92,0,3.4,RU,1583533071
119,santa isabel,-23.32,-46.22,75.2,68,20,6.93,BR,1583533072
120,nador,35.17,-2.93,60.8,63,27,18.34,MA,1583533072
121,temerloh,3.45,102.42,73.18,97,92,4.03,MY,1583533072
